"Statement 1","SELECT * FROM User WHERE BINARY username = ? AND BINARY password = ?","class org.example.models.User","Done successfully!"
"Statement 2","SELECT * FROM User WHERE BINARY username = ? AND BINARY password = ?","class org.example.models.User","Done successfully!"
"Statement 3","SELECT * FROM Player WHERE id_user = ?","class org.example.models.Player","Done successfully!"
"Statement 4","SELECT * FROM User WHERE BINARY username = ? AND BINARY password = ?","class org.example.models.User","Done successfully!"
"Statement 5","SELECT * FROM Architect WHERE id_user = ?","class org.example.models.Architect","Done successfully!"
"Statement 6","SELECT * FROM User WHERE BINARY username = ? AND BINARY password = ?","class org.example.models.User","Done successfully!"
"Statement 7","SELECT * FROM Architect WHERE id_user = ?","class org.example.models.Architect","Done successfully!"
"Statement 8","SELECT * FROM User WHERE BINARY username = ? AND BINARY password = ?","class org.example.models.User","Done successfully!"
"Statement 9","SELECT * FROM Player WHERE id_user = ?","class org.example.models.Player","Done successfully!"
"Statement 10","SELECT * FROM User WHERE BINARY username = ? AND BINARY password = ?","class org.example.models.User","Done successfully!"
"Statement 11","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 12","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 13","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 14","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 15","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 16","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 17","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 18","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 19","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 20","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 21","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 22","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 23","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 24","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 25","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 26","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 27","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 28","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 29","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 30","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 31","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 32","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 33","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 34","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 35","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 36","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 37","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 38","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 39","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 40","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 41","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 42","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 43","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 44","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 45","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 46","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 47","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 48","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 49","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 50","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 51","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 52","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 53","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 54","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 55","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 56","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 57","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 58","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 59","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 60","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 61","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 62","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 63","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 64","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 65","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 66","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 67","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 68","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 69","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 70","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 71","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 72","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 73","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
"Statement 74","SELECT * FROM Quest WHERE id_player = ?","class org.example.models.Quest","Done successfully!"
